"filename", "language", "HTML", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Frank\LunchCount2024\package-lock.json", "JSON", 0, 12, 0, 0, 0, 0, 12
"c:\Users\Frank\LunchCount2024\package.json", "JSON", 0, 2, 0, 0, 0, 0, 2
"c:\Users\Frank\LunchCount2024\public\admin\adminPage.html", "HTML", -24, 0, 0, 0, -7, 0, -31
"c:\Users\Frank\LunchCount2024\public\admin\adminPage.js", "JavaScript", 0, 0, 293, 0, 54, 8, 355
"c:\Users\Frank\LunchCount2024\public\admin\adminStyles.css", "CSS", 0, 0, 0, 79, 3, 2, 84
"c:\Users\Frank\LunchCount2024\public\admin\subPages\changeLunch.html", "HTML", 66, 0, 0, 0, 3, 6, 75
"c:\Users\Frank\LunchCount2024\public\admin\subPages\seeCount.html", "HTML", 46, 0, 0, 0, 60, 4, 110
"c:\Users\Frank\LunchCount2024\public\defaultPage.css", "CSS", 0, 0, 0, 9, 0, 0, 9
"c:\Users\Frank\LunchCount2024\public\main\mainPage.js", "JavaScript", 0, 0, -1, 0, 6, 0, 5
"c:\Users\Frank\LunchCount2024\public\main\mainStyles.css", "CSS", 0, 0, 0, 0, 0, 2, 2
"c:\Users\Frank\LunchCount2024\public\main\redirects.js", "JavaScript", 0, 0, 4, 0, 0, 0, 4
"c:\Users\Frank\LunchCount2024\server.js", "JavaScript", 0, 0, 120, 0, 12, 4, 136
"Total", "-", 88, 14, 416, 88, 131, 26, 763